train/n_updates,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean
10099,173,68,58,0.0,-34.02507400512695,-27.562847137451172,0.0003,0.02148246392607689,10200,150.0,0.05085329711437225,-55.592784676470586
10699,183,72,58,0.0,-33.2867431640625,-29.373626708984375,0.0003,0.018677130341529846,10800,150.0,0.04281251132488251,-54.19924823611111
11299,193,76,58,0.0,-32.021968841552734,-29.25993537902832,0.0003,0.015134284272789955,11400,150.0,0.03607870638370514,-53.062821236842105
11899,204,80,58,0.0,-31.03011703491211,-29.894207000732422,0.0003,0.016810357570648193,12000,150.0,0.030434390529990196,-51.753428325
12499,214,84,58,0.0,-29.569202423095703,-30.06757354736328,0.0003,0.012953029945492744,12600,150.0,0.025707466527819633,-50.58358259523809
13099,225,88,58,0.0,-28.736801147460938,-30.12572479248047,0.0003,0.01074972003698349,13200,150.0,0.021737368777394295,-49.581981636363636
13699,235,92,58,0.0,-27.582977294921875,-29.93132781982422,0.0003,0.010935339145362377,13800,150.0,0.018401866778731346,-48.536534478260876
14299,245,96,58,0.0,-26.590784072875977,-30.754230499267578,0.0003,0.008959030732512474,14400,150.0,0.015597658231854439,-47.293787968749996
14899,256,100,58,0.0,-25.221912384033203,-26.969078063964844,0.0003,0.010903116315603256,15000,150.0,0.013281584717333317,-46.24890641999998
15499,266,104,58,0.0,-24.254911422729492,-25.679616928100586,0.0003,0.009093626402318478,15600,150.0,0.011345119215548038,-42.87849005
16099,277,108,58,0.0,-23.10527801513672,-23.67953109741211,0.0003,0.007805047556757927,16200,150.0,0.009714615531265736,-39.89962916
16699,288,112,58,0.0,-22.404451370239258,-24.47391700744629,0.0003,0.009075344540178776,16800,150.0,0.008320166729390621,-37.589509199999995
17299,300,116,57,0.0,-21.04974937438965,-20.560993194580078,0.0003,0.00631033256649971,17400,150.0,0.007136641535907984,-35.94463174999999
17899,313,120,57,0.0,-20.24815559387207,-19.154861450195312,0.0003,0.007152675651013851,18000,150.0,0.006134487688541412,-34.64101207
18499,324,124,57,0.0,-19.34520149230957,-20.772159576416016,0.0003,0.006057946942746639,18600,150.0,0.005289625842124224,-30.389837670000002
19099,336,128,57,0.0,-18.49949073791504,-19.561359405517578,0.0003,0.00625705998390913,19200,150.0,0.004535509739071131,-28.537279400000003
19699,347,132,57,0.0,-17.997859954833984,-16.513601303100586,0.0003,0.004637559875845909,19800,150.0,0.0039001619443297386,-26.79063531
