train/ent_coef_loss,train/critic_loss,train/actor_loss,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/ent_coef,time/episodes,train/n_updates,rollout/ep_rew_mean,rollout/success_rate
-8.315229415893555,0.007762734312564135,11.00165843963623,0.0003,150.0,2,600150,55,0.007736271247267723,4000,600049,-61.06602586000001,0.06
-5.510894298553467,0.011207340285182,10.615432739257812,0.0003,150.0,13,600750,54,0.00617130845785141,4004,600649,-60.95909630000001,0.06
2.4021525382995605,0.028695331886410713,14.445869445800781,0.0003,150.0,24,601350,54,0.007629398722201586,4008,601249,-62.12733504999999,0.06
14.54018783569336,0.1231267899274826,20.646709442138672,0.0003,150.0,36,601950,53,0.009537753649055958,4012,601849,-66.91600059000001,0.06
3.4717137813568115,0.03161854296922684,16.852935791015625,0.0003,150.0,48,602550,52,0.011129542253911495,4016,602449,-67.50183284999999,0.06
-1.2792084217071533,0.04676205292344093,15.652822494506836,0.0003,150.0,61,603150,51,0.011595639400184155,4020,603049,-67.34921852,0.05
-3.7215161323547363,0.04098837450146675,15.033775329589844,0.0003,150.0,73,603750,51,0.010873022489249706,4024,603649,-64.84708627,0.05
-4.1148858070373535,0.027680180966854095,14.434213638305664,0.0003,150.0,85,604350,51,0.010359573177993298,4028,604249,-66.60777162,0.05
-0.12225836515426636,0.029543913900852203,15.091384887695312,0.0003,150.0,96,604950,51,0.00944020226597786,4032,604849,-65.13271398999998,0.05
5.2517266273498535,0.04018504172563553,16.079124450683594,0.0003,150.0,109,605550,50,0.0096012307330966,4036,605449,-68.7222499,0.04
5.122405052185059,0.08467144519090652,16.53325843811035,0.0003,150.0,121,606150,50,0.011384283192455769,4040,606049,-72.16001548,0.04
3.4940884113311768,0.07354520261287689,17.717575073242188,0.0003,150.0,133,606750,50,0.01245084498077631,4044,606649,-75.78074483999998,0.03
-5.344169616699219,0.07256321609020233,15.109370231628418,0.0003,150.0,144,607350,50,0.011754517443478107,4048,607249,-75.40503781,0.03
-2.068749189376831,0.03387824818491936,15.102058410644531,0.0003,150.0,155,607950,51,0.010797183029353619,4052,607849,-75.59778978,0.03
-0.8991107940673828,0.08018061518669128,15.583328247070312,0.0003,150.0,166,608550,51,0.010354846715927124,4056,608449,-77.49788175,0.03
0.32244324684143066,0.1856582760810852,16.20313262939453,0.0003,150.0,177,609150,51,0.011290406808257103,4060,609049,-79.30026879,0.03
1.7043390274047852,0.20582537353038788,16.56452178955078,0.0003,150.0,189,609750,51,0.011516401544213295,4064,609649,-81.41458121000001,0.03
-1.7169687747955322,0.09962917119264603,15.598434448242188,0.0003,150.0,200,610350,51,0.011959999799728394,4068,610249,-80.41558704,0.03
-1.2847599983215332,0.0638098493218422,15.997035026550293,0.0003,150.0,211,610950,51,0.011797226034104824,4072,610849,-78.78066156,0.03
1.7363841533660889,0.08931784331798553,16.2630672454834,0.0003,150.0,222,611550,51,0.011418255977332592,4076,611449,-78.88415324,0.03
-0.4087553024291992,0.08487498760223389,15.274109840393066,0.0003,150.0,233,612150,52,0.01082051545381546,4080,612049,-77.70568508,0.03
0.12278604507446289,0.12121211737394333,14.610620498657227,0.0003,150.0,245,612750,51,0.010484633035957813,4084,612649,-77.91882772999999,0.03
-5.041590213775635,0.0971614420413971,13.202390670776367,0.0003,150.0,257,613350,51,0.010296457447111607,4088,613249,-78.74188476999998,0.02
0.33898675441741943,0.10072125494480133,13.653973579406738,0.0003,150.0,269,613950,51,0.010323132388293743,4092,613849,-77.12225862,0.02
2.608600378036499,0.06563502550125122,14.551043510437012,0.0003,150.0,282,614550,51,0.011111512780189514,4096,614449,-80.95767597000001,0.02
5.471848964691162,0.1126885861158371,14.53222942352295,0.0003,150.0,294,615150,51,0.012045219540596008,4100,615049,-79.92649111,0.01
-3.0343785285949707,0.15862511098384857,13.40320873260498,0.0003,150.0,306,615750,51,0.012858211994171143,4104,615649,-80.93274359000002,0.01
2.332697868347168,0.3008463680744171,14.29664421081543,0.0003,150.0,318,616350,51,0.013627606444060802,4108,616249,-80.69970449,0.01
1.1435030698776245,0.31079280376434326,12.413602828979492,0.0003,150.0,331,616950,51,0.014859399758279324,4112,616849,-78.06229325999999,0.01
0.2513943314552307,0.23099446296691895,12.14157485961914,0.0003,150.0,343,617550,51,0.01587316207587719,4116,617449,-79.83540078000001,0.01
-1.0331673622131348,0.19881823658943176,11.657011985778809,0.0003,150.0,355,618150,51,0.017000209540128708,4120,618049,-81.13375435,0.01
-0.5635783672332764,0.28321611881256104,11.540781021118164,0.0003,150.0,367,618750,50,0.01889961212873459,4124,618649,-84.86419889000001,0.01
-1.6441421508789062,0.3138814866542816,10.336625099182129,0.0003,150.0,380,619350,50,0.020557718351483345,4128,619249,-89.08483918999997,0.01
1.028376579284668,0.898270308971405,8.242351531982422,0.0003,150.0,393,619950,50,0.02152213454246521,4132,619849,-93.13070429000001,0.01
0.7376302480697632,0.43223991990089417,7.778409957885742,0.0003,150.0,405,620550,50,0.022581186145544052,4136,620449,-95.12442288,0.01
3.1094584465026855,0.867941677570343,7.566439628601074,0.0003,150.0,417,621150,50,0.024664903059601784,4140,621049,-97.68736113000001,0.01
1.1087846755981445,0.6279783248901367,3.5986151695251465,0.0003,150.0,430,621750,50,0.027049075812101364,4144,621649,-99.96618122,0.01
0.22508841753005981,0.7731641530990601,4.237613677978516,0.0003,150.0,443,622350,50,0.02897147461771965,4148,622249,-105.29719559000002,0.01
