time/time_elapsed,train/learning_rate,rollout/success_rate,train/n_updates,train/ent_coef,time/total_timesteps,time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,time/episodes
5,0.0003,0.6,400199,0.0022593489848077297,400300,58,4.472814083099365,-12.215492670000001,150.0,0.0008745234226807952,-0.17668671905994415,2668
15,0.0003,0.58,400799,0.002726864069700241,400900,56,9.933858871459961,-17.05141344,150.0,0.042377978563308716,43.365997314453125,2672
26,0.0003,0.55,401399,0.0035064537078142166,401500,55,12.791937828063965,-23.437320749999998,150.0,0.03286273404955864,56.83457946777344,2676
37,0.0003,0.53,401999,0.004279468208551407,402100,55,13.077751159667969,-26.489965459999997,150.0,0.04962864890694618,44.445743560791016,2680
48,0.0003,0.51,402599,0.005066907498985529,402700,55,12.217548370361328,-29.25910493,150.0,0.03759704530239105,35.88811492919922,2684
59,0.0003,0.5,403199,0.005874972324818373,403300,55,13.388688087463379,-35.137320100000004,150.0,0.09086333960294724,33.83164596557617,2688
70,0.0003,0.47,403799,0.006946778856217861,403900,54,14.826109886169434,-38.070127590000006,150.0,0.07095743715763092,32.00501251220703,2692
82,0.0003,0.46,404399,0.008042853325605392,404500,54,14.196151733398438,-44.46670363000001,150.0,0.09332659840583801,23.0794620513916,2696
93,0.0003,0.43,404999,0.009157382883131504,405100,54,14.547303199768066,-46.824816899999995,150.0,0.09152289479970932,21.58835220336914,2700
104,0.0003,0.42,405599,0.010484297759830952,405700,54,14.335982322692871,-52.25173253,150.0,0.05600133165717125,16.630643844604492,2704
116,0.0003,0.39,406199,0.012172244489192963,406300,54,15.88387680053711,-57.70674006,150.0,0.09067410975694656,20.28612518310547,2708
128,0.0003,0.38,406799,0.013871686533093452,406900,53,15.552494049072266,-60.04154921,150.0,0.0636710375547409,10.959734916687012,2712
140,0.0003,0.36,407399,0.015117623843252659,407500,53,14.383842468261719,-63.625222089999994,150.0,0.13455460965633392,5.719366073608398,2716
152,0.0003,0.32,407999,0.01638997532427311,408100,53,14.326547622680664,-68.27532422,150.0,0.09047652781009674,1.7036296129226685,2720
163,0.0003,0.3,408599,0.017572946846485138,408700,53,13.764979362487793,-70.44218903,150.0,0.07432548701763153,-1.7200686931610107,2724
176,0.0003,0.27,409199,0.018266143277287483,409300,52,16.004602432250977,-76.33468831,150.0,0.12524756789207458,1.5193157196044922,2728
187,0.0003,0.24,409799,0.01890603080391884,409900,52,15.653100967407227,-78.68330063999998,150.0,0.15297341346740723,0.31982341408729553,2732
199,0.0003,0.24,410399,0.019072970375418663,410500,52,15.45164680480957,-81.44739712,150.0,0.10139348357915878,0.5409213900566101,2736
210,0.0003,0.21,410999,0.01877180114388466,411100,52,15.662236213684082,-86.06881272000001,150.0,0.18133467435836792,-0.21997040510177612,2740
221,0.0003,0.19,411599,0.01800960674881935,411700,52,14.409035682678223,-87.06855081000002,150.0,0.06740982085466385,-3.1210551261901855,2744
232,0.0003,0.16,412199,0.017404967918992043,412300,52,14.81430721282959,-91.32956662000001,150.0,0.09220819175243378,-0.15781736373901367,2748
243,0.0003,0.13,412799,0.017004255205392838,412900,52,15.505146026611328,-95.79221764,150.0,0.17736086249351501,2.2211098670959473,2752
254,0.0003,0.12,413399,0.01660827547311783,413500,52,14.79499626159668,-97.79257233,150.0,0.1282350867986679,-0.6291001439094543,2756
266,0.0003,0.11,413999,0.01635596714913845,414100,53,16.74873924255371,-101.33004857999997,150.0,0.09110905230045319,3.7064294815063477,2760
277,0.0003,0.07,414599,0.01649530418217182,414700,53,14.739923477172852,-102.31968613999999,150.0,0.11394038796424866,0.3683233857154846,2764
288,0.0003,0.04,415199,0.01592351496219635,415300,53,17.36227798461914,-104.62490394000001,150.0,0.09098345041275024,2.7022721767425537,2768
299,0.0003,0.04,415799,0.015707433223724365,415900,53,16.58645248413086,-105.54558641,150.0,0.11833499372005463,4.518723011016846,2772
310,0.0003,0.05,416399,0.015343834646046162,416500,53,15.983797073364258,-103.12888920999998,150.0,0.13654306530952454,0.9880403280258179,2776
322,0.0003,0.05,416999,0.015254046767950058,417100,53,14.868127822875977,-102.4315295,150.0,0.0943581759929657,-1.4418495893478394,2780
333,0.0003,0.05,417599,0.015101226046681404,417700,52,15.882905006408691,-101.61405710999999,150.0,0.12988993525505066,1.0855869054794312,2784
345,0.0003,0.05,418199,0.014805858954787254,418300,52,14.487066268920898,-96.63170326,150.0,0.08003157377243042,-1.4901349544525146,2788
357,0.0003,0.06,418799,0.01454435009509325,418900,52,14.090845108032227,-96.70033242,150.0,0.08011119812726974,-1.5958616733551025,2792
368,0.0003,0.07,419399,0.014203108847141266,419500,52,13.455459594726562,-93.19582689000002,150.0,0.05892224237322807,-1.525984525680542,2796
380,0.0003,0.07,419999,0.014079321175813675,420100,52,14.776273727416992,-95.80962502,150.0,0.09452058374881744,0.37040790915489197,2800
391,0.0003,0.08,420599,0.013809102587401867,420700,52,15.083139419555664,-91.94091391,150.0,0.07660378515720367,-0.46919864416122437,2804
403,0.0003,0.08,421199,0.013371240347623825,421300,52,16.038965225219727,-90.26695138999997,150.0,0.21919824182987213,1.7995331287384033,2808
415,0.0003,0.06,421799,0.01341225579380989,421900,52,14.757637023925781,-91.44306148,150.0,0.06154237315058708,-0.5372607707977295,2812
426,0.0003,0.07,422399,0.013429585844278336,422500,52,14.494422912597656,-90.30923409,150.0,0.061869390308856964,-1.9723173379898071,2816
