time/fps,train/ent_coef_loss,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/episodes,train/ent_coef,time/total_timesteps,time/time_elapsed
58,6.329775810241699,0.85,-4.107262639999999,0.0003,200349,3.2855212688446045,0.0001545360719319433,150.0,1336,0.001040558097884059,200450,7
56,4.065123558044434,0.83,-4.35555613,0.0003,200949,3.0794765949249268,0.00013779271102976054,150.0,1340,0.0011519993422552943,201050,18
56,8.054094314575195,0.81,-4.544740409999999,0.0003,201549,3.1385395526885986,0.0001744934997987002,150.0,1344,0.0012369282776489854,201650,28
57,3.8730735778808594,0.79,-4.83521738,0.0003,202149,2.9710001945495605,0.0001435929152648896,150.0,1348,0.0013271303614601493,202250,39
57,1.460854411125183,0.8,-5.03410555,0.0003,202749,2.8936331272125244,0.00013834566925652325,150.0,1352,0.0013953848974779248,202850,49
57,5.581789016723633,0.79,-6.90667241,0.0003,203349,3.2193994522094727,0.0004403981729410589,150.0,1356,0.0014943450223654509,203450,60
57,0.40819305181503296,0.76,-7.234213940000001,0.0003,203949,3.345012664794922,0.0005113674560561776,150.0,1360,0.001593309105373919,204050,70
57,-0.803617000579834,0.73,-7.4654537900000015,0.0003,204549,3.285534143447876,0.00048628004151396453,150.0,1364,0.0016129263676702976,204650,81
57,-0.8611434102058411,0.72,-7.79606104,0.0003,205149,3.1312668323516846,0.0004768286016769707,150.0,1368,0.0015869755297899246,205250,91
57,1.2066631317138672,0.71,-7.937199059999999,0.0003,205749,3.276378870010376,0.0013773253886029124,150.0,1372,0.0015485561452805996,205850,102
57,0.008820176124572754,0.71,-8.206846060000002,0.0003,206349,3.460566282272339,0.000573738943785429,150.0,1376,0.0015791476471349597,206450,113
57,0.7542351484298706,0.71,-8.44098569,0.0003,206949,3.1644668579101562,0.00037739379331469536,150.0,1380,0.0015455876709893346,207050,123
56,9.8759183883667,0.69,-14.732416250000002,0.0003,207549,3.9797439575195312,0.02871272899210453,150.0,1384,0.001945539261214435,207650,134
56,10.77380084991455,0.66,-15.058208249999998,0.0003,208149,4.533847332000732,0.07333976030349731,150.0,1388,0.0023515839129686356,208250,145
56,4.200862884521484,0.63,-15.496411149999998,0.0003,208749,3.904214382171631,0.009023690596222878,150.0,1392,0.0026188031770288944,208850,155
56,-2.255415439605713,0.61,-16.23518513,0.0003,209349,3.594770908355713,0.0026918635703623295,150.0,1396,0.002685639075934887,209450,166
56,-3.0272934436798096,0.6,-16.5153482,0.0003,209949,3.5142757892608643,0.017074674367904663,150.0,1400,0.002624001819640398,210050,176
56,-2.3466567993164062,0.57,-17.244051680000002,0.0003,210549,3.809253215789795,0.06146181374788284,150.0,1404,0.002603543223813176,210650,187
56,-3.5149855613708496,0.53,-18.050523560000002,0.0003,211149,3.5178420543670654,0.003312119282782078,150.0,1408,0.0026963588315993547,211250,198
56,1.3731184005737305,0.51,-18.80068033,0.0003,211749,4.127188205718994,0.0313461571931839,150.0,1412,0.002820482710376382,211850,208
56,-0.3821682929992676,0.48,-19.55201198,0.0003,212349,3.9595940113067627,0.010487761348485947,150.0,1416,0.0029471120797097683,212450,219
56,4.211971282958984,0.46,-20.04829154,0.0003,212949,4.133749008178711,0.02341121807694435,150.0,1420,0.0029788927640765905,213050,229
56,0.16610389947891235,0.42,-20.554192429999997,0.0003,213549,3.761063575744629,0.004354475997388363,150.0,1424,0.0031143398955464363,213650,240
56,1.7326513528823853,0.4,-21.166330950000003,0.0003,214149,4.097386837005615,0.023068342357873917,150.0,1428,0.0031734078656882048,214250,251
56,-1.3163890838623047,0.37,-21.551777590000007,0.0003,214749,3.8311047554016113,0.0026398650370538235,150.0,1432,0.003057620720937848,214850,261
56,-0.9714412689208984,0.36,-21.710117280000006,0.0003,215349,3.6526200771331787,0.005073899403214455,150.0,1436,0.003044127719476819,215450,272
56,-2.5434117317199707,0.35,-21.82319652,0.0003,215949,3.5513486862182617,0.027140114456415176,150.0,1440,0.0030193349812179804,216050,283
56,-0.2800179123878479,0.34,-22.340968760000006,0.0003,216549,3.683523654937744,0.0022556001786142588,150.0,1444,0.003064790740609169,216650,294
56,1.6240978240966797,0.33,-23.094704920000005,0.0003,217149,3.9192075729370117,0.004212742205709219,150.0,1448,0.00306362914852798,217250,305
56,0.3929373621940613,0.3,-23.458081960000005,0.0003,217749,3.9550468921661377,0.0024292406160384417,150.0,1452,0.0030613611452281475,217850,315
56,1.3769140243530273,0.29,-22.278663459999997,0.0003,218349,4.295053005218506,0.004680361598730087,150.0,1456,0.0030806967988610268,218450,326
56,-0.5323111414909363,0.29,-22.31531327,0.0003,218949,4.029912948608398,0.009843277744948864,150.0,1460,0.0031256317161023617,219050,337
56,-5.306707859039307,0.28,-22.666864539999995,0.0003,219549,3.6200785636901855,0.0021854215301573277,150.0,1464,0.003105725394561887,219650,347
56,-2.054800033569336,0.26,-23.11513165,0.0003,220149,3.89483642578125,0.003421015804633498,150.0,1468,0.0030126995407044888,220250,358
56,-0.06458252668380737,0.24,-23.32283153,0.0003,220749,3.8053030967712402,0.0032069869339466095,150.0,1472,0.0029349280521273613,220850,369
56,-2.8145735263824463,0.22,-23.30486075,0.0003,221349,3.782376527786255,0.0029547300655394793,150.0,1476,0.002920603146776557,221450,379
56,-0.7806344032287598,0.22,-23.364610230000004,0.0003,221949,3.8912911415100098,0.00360609358176589,150.0,1480,0.002873046789318323,222050,390
