time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/std,train/value_loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/loss
3,202752,1,581,-14.565413509999999,150.0,,,,,,,,,,,
7,204800,2,516,-17.4833859,150.0,0.190869140625,0.39494138956069946,8.384859747346491,-3.3608211025595667,0.2,0.001839479658519849,0.9013002589344978,0.0003,0.04562647,1970,1.1120827198028564
11,206848,3,512,-17.599670630000002,150.0,0.196240234375,0.3982013761997223,1.2032239971449599,-3.4010410614311697,0.2,0.01761082568700658,0.8953454419970512,0.0003,0.040547356,1980,0.6467130184173584
16,208896,4,497,-22.26136942,150.0,0.357958984375,0.3977833092212677,1.8527121170074679,-3.4238980762660502,0.2,-0.008145339993643575,0.28469640016555786,0.0003,0.036322907,1990,1.4432578086853027
20,210944,5,496,-22.38939671,150.0,0.196435546875,0.39936330914497375,13.131785472296178,-3.4328050151467324,0.2,-0.006381026428425684,0.9104562029242516,0.0003,0.01802006,2000,1.0095735788345337
24,212992,6,498,-22.799680640000002,150.0,0.3224609375,0.3944648802280426,0.7102696101763286,-3.4161870859563352,0.2,0.012143288981314981,0.9019140303134918,0.0003,0.095300786,2010,0.005342165008187294
28,215040,7,499,-23.104100120000002,150.0,0.39287109375,0.3886552155017853,0.338152449746849,-3.3132405899465085,0.2,-0.0012304043288168033,0.739862322807312,0.0003,0.0503354,2020,0.07679494470357895
33,217088,8,495,-22.152635170000003,150.0,0.3748046875,0.38740164041519165,0.9615119270136347,-3.2536647096276283,0.2,-0.008153442946786526,-0.6545125246047974,0.0003,0.035468824,2030,0.016777563840150833
37,219136,9,492,-24.369945599999998,150.0,0.25703125,0.3857622742652893,0.8175768843269907,-3.2395473130047323,0.2,-0.010384105410776102,0.9423952139914036,0.0003,0.45091313,2040,0.2823222577571869
41,221184,10,492,-23.040695159999995,150.0,0.2033203125,0.385018914937973,3.3574116222560404,-3.2080024309456348,0.2,0.007442690727475565,0.9568789079785347,0.0003,0.021987371,2050,1.8882297277450562
45,223232,11,493,-24.401410759999997,150.0,0.38369140625,0.3816553056240082,6.862937964970479,-3.16423836350441,0.2,-9.292788454331457e-05,-4.508421421051025,0.0003,0.050436914,2060,0.121314138174057
49,225280,12,493,-21.086095829999998,150.0,0.26455078125,0.3817591369152069,11.020750020816923,-3.132003565132618,0.2,-0.0015147473983233794,0.9314045757055283,0.0003,0.06923539,2070,0.2757554352283478
54,227328,13,491,-25.7722864,150.0,0.39052734375,0.37779998779296875,0.14017163583484943,-3.1044820375740527,0.2,-0.010632207571325126,0.6769384741783142,0.0003,0.038067997,2080,0.01465483196079731
58,229376,14,488,-28.125938009999995,150.0,0.214013671875,0.378735214471817,8.733247488969937,-3.07466327175498,0.2,-0.013231313189317006,0.9536278881132603,0.0003,0.04345709,2090,1.2237595319747925
63,231424,15,486,-26.65904041,150.0,0.185400390625,0.3793039321899414,4.241268602525816,-3.093599770218134,0.2,0.00456476784311235,0.9453533850610256,0.0003,0.022009373,2100,0.6346690058708191
67,233472,16,483,-33.333354240000006,150.0,0.268603515625,0.3764292597770691,1.5875770179613027,-3.075108730792999,0.2,-0.031842318589042407,0.9661359749734402,0.0003,0.3237666,2110,1.182131052017212
71,235520,17,484,-33.18594353,150.0,0.21083984375,0.3779108226299286,11.674610568583011,-3.0501462504267693,0.2,0.001159177505178377,0.9445436745882034,0.0003,0.036460146,2120,0.9759092330932617
75,237568,18,486,-29.285683070000008,150.0,0.313427734375,0.3762193024158478,8.477608899981714,-3.05490890070796,0.2,0.004461765682208352,0.8973733261227608,0.0003,0.1364018,2130,0.3236615061759949
80,239616,19,485,-32.18727042,150.0,0.387255859375,0.3760804533958435,0.4525852690974716,-3.0441938281059264,0.2,0.004993900778936222,-0.49136626720428467,0.0003,0.040538494,2140,-0.002923663705587387
84,241664,20,484,-32.77001324,150.0,0.277294921875,0.37767624855041504,5.289886833401397,-3.051326943933964,0.2,0.0012222929013660177,0.9279218837618828,0.0003,0.04925288,2150,0.6501466035842896
88,243712,21,484,-31.62195481,150.0,0.2083984375,0.376394659280777,12.792785379104316,-3.057977620512247,0.2,-0.006534948573971633,0.9191063418984413,0.0003,0.028490162,2160,4.671646595001221
92,245760,22,484,-33.56888612,150.0,0.296630859375,0.3742080628871918,4.878294161916711,-3.0201172947883608,0.2,0.011161444160097744,0.8290842026472092,0.0003,0.101846,2170,3.033513307571411
97,247808,23,485,-28.59032464,150.0,0.295068359375,0.37500855326652527,1.9561850072816014,-3.0079264916479587,0.2,0.013531272798718418,0.9562220089137554,0.0003,0.03115668,2180,0.7118357419967651
101,249856,24,484,-28.463809160000004,150.0,0.396435546875,0.37128379940986633,1.3465059835842113,-2.982616327702999,0.2,-0.002535146986338077,-1.6944565773010254,0.0003,0.050572954,2190,0.020618651062250137
105,251904,25,484,-29.360483130000002,150.0,0.24189453125,0.3711322247982025,9.496647163713352,-2.9411280982196333,0.2,-0.006547730680904351,0.9599387608468533,0.0003,0.07711411,2200,1.5394490957260132
110,253952,26,484,-30.275986239999998,150.0,0.412060546875,0.3727906048297882,3.4612933077383787,-2.9677320562303064,0.2,-0.0013028974790358916,0.8443655073642731,0.0003,0.045527525,2210,4.689194202423096
114,256000,27,484,-28.36168637,150.0,0.321435546875,0.37312379479408264,11.137635069154204,-2.982780606299639,0.2,0.0034581189596792684,0.9157617464661598,0.0003,0.35602504,2220,1.4516613483428955
118,258048,28,483,-28.272593129999997,150.0,0.340869140625,0.3720901310443878,1.086300375754945,-2.9630493216216562,0.2,-0.0006013960257405416,0.9540269672870636,0.0003,0.039238337,2230,0.09410679340362549
122,260096,29,484,-29.205471720000002,150.0,0.30166015625,0.3728514313697815,5.097379756392911,-2.9749597527086733,0.2,-0.009341721304372186,0.9585490487515926,0.0003,0.17333077,2240,5.835352420806885
126,262144,30,484,-27.267759690000002,150.0,0.32685546875,0.3744340240955353,5.127004705416039,-2.991207046061754,0.2,0.0003288408073785831,0.652269572019577,0.0003,0.031099325,2250,0.24964217841625214
130,264192,31,484,-27.53977695,150.0,0.381396484375,0.37307462096214294,3.876015710938373,-2.98906392082572,0.2,0.005527459557924885,-5.523970603942871,0.0003,0.033583134,2260,0.35974740982055664
135,266240,32,484,-26.26233339,150.0,0.277099609375,0.3727850317955017,5.769154041004367,-2.9876223213970663,0.2,-0.003344254741205077,0.9401424117386341,0.0003,0.05408618,2270,0.2071448415517807
139,268288,33,484,-31.156144410000003,150.0,0.331494140625,0.37241998314857483,2.689579060068354,-2.9797704450786116,0.2,0.01586516359820962,0.9505040943622589,0.0003,0.04692401,2280,0.7358605265617371
143,270336,34,483,-31.101781340000002,150.0,0.2732421875,0.3709542453289032,12.083824630826712,-2.9598396964371205,0.2,-0.011054102872731165,0.9166160747408867,0.0003,0.041039415,2290,1.319488525390625
148,272384,35,482,-32.213114850000004,150.0,0.310009765625,0.3719255030155182,3.325683078542352,-2.958622780442238,0.2,0.0030066269420785828,0.9336842224001884,0.0003,0.15745005,2300,0.23426848649978638
153,274432,36,481,-34.408645619999994,150.0,0.25322265625,0.37176090478897095,4.369169088825584,-2.9617408767342566,0.2,0.003866590713732876,0.9486113153398037,0.0003,0.025357295,2310,2.032292604446411
157,276480,37,480,-38.56642675,150.0,0.2046875,0.3723430037498474,7.045992409810424,-2.965760173648596,0.2,0.01200731019343948,0.9582985602319241,0.0003,0.055646814,2320,0.06405594199895859
161,278528,38,480,-39.9748752,150.0,0.273388671875,0.3712940216064453,3.5095248164841903,-2.96207567602396,0.2,0.002619041105208453,0.9663282297551632,0.0003,0.031322177,2330,0.9342153668403625
165,280576,39,481,-38.471399379999994,150.0,0.267626953125,0.3707614541053772,15.644951602630318,-2.950368405133486,0.2,-0.009202916347567225,0.9347852468490601,0.0003,0.03420844,2340,4.106814861297607
170,282624,40,481,-35.776861839999995,150.0,0.442626953125,0.36811375617980957,3.3582747563254087,-2.9231124363839625,0.2,-0.0022956249500566627,-1.49017333984375,0.0003,0.050507326,2350,0.15913927555084229
174,284672,41,481,-31.862355409999996,150.0,0.36650390625,0.36666402220726013,7.608691308065318,-2.884478201717138,0.2,-0.007647528725283337,0.9148208722472191,0.0003,0.048130333,2360,0.22833958268165588
178,286720,42,482,-30.385227559999997,150.0,0.29130859375,0.3669082522392273,0.7727980011957698,-2.8703267753124235,0.2,0.011624234198825434,0.9576098881661892,0.0003,0.1150424,2370,0.24147456884384155
182,288768,43,481,-28.242888889999996,150.0,0.32841796875,0.366028755903244,1.4764354388811625,-2.8681378468871115,0.2,-0.005375062931852881,0.9351017773151398,0.0003,0.038346503,2380,0.405035138130188
187,290816,44,481,-29.113915330000005,150.0,0.331201171875,0.36421045660972595,1.8986858313670383,-2.845385256409645,0.2,-0.010977856669342145,0.8707517236471176,0.0003,0.6562485,2390,0.14504258334636688
191,292864,45,481,-23.19727565,150.0,0.301708984375,0.3635796010494232,7.119733548210934,-2.8181626349687576,0.2,-0.011019089172623352,0.9202311486005783,0.0003,0.44470733,2400,0.4532979726791382
195,294912,46,482,-23.015445199999995,150.0,0.4119140625,0.36350110173225403,3.3476095798658205,-2.804641854017973,0.2,-0.007680005019938108,-2.9986732006073,0.0003,0.050643325,2410,-0.0073252711445093155
199,296960,47,482,-20.976508849999995,150.0,0.39951171875,0.36342543363571167,1.471205373335397,-2.804444684833288,0.2,-0.006731090156245045,-2.6762008666992188,0.0003,0.031588227,2420,0.08723267912864685
203,299008,48,483,-19.87078542,150.0,0.425927734375,0.36190861463546753,0.10825503091909923,-2.7954645484685896,0.2,-0.013414871430722997,0.7730634957551956,0.0003,0.048112333,2430,0.03634700924158096
207,301056,49,483,-21.460830060000003,150.0,0.383642578125,0.35847535729408264,0.16651275521726347,-2.7469044804573057,0.2,-0.0073812472714053,0.7767772674560547,0.0003,0.040942054,2440,0.032425425946712494
211,303104,50,483,-20.33845221,150.0,0.29345703125,0.3575863838195801,0.5969267156324349,-2.72116804420948,0.2,-0.0070265093396301385,0.9573030099272728,0.0003,0.100155994,2450,0.06376086920499802
215,305152,51,484,-18.640033560000003,150.0,0.238671875,0.3565841019153595,1.7356344314292074,-2.692913541942835,0.2,-0.00954124070412945,0.9246586859226227,0.0003,0.17101866,2460,0.05337158218026161
220,307200,52,483,-19.380447999999998,150.0,0.356298828125,0.3551092743873596,0.6403151118254755,-2.672167657315731,0.2,-0.00681365180935245,0.7705449312925339,0.0003,0.034842316,2470,0.07871122658252716
224,309248,53,483,-22.090497489999997,150.0,0.3171875,0.3532969355583191,1.5669403465697542,-2.63894976824522,0.2,-0.027850617632793728,0.867565706372261,0.0003,0.2635515,2480,0.09953395277261734
228,311296,54,483,-23.784073879999998,150.0,0.3015625,0.3514237701892853,4.5706672806642015,-2.606662882119417,0.2,-0.023753190714342055,0.9091156721115112,0.0003,0.36159366,2490,0.08035138994455338
232,313344,55,483,-25.733038689999997,150.0,0.323486328125,0.3520544171333313,1.4429619781090879,-2.5891633816063404,0.2,-0.009388288778427522,0.9664509631693363,0.0003,0.04604872,2500,0.1389044225215912
237,315392,56,483,-28.52410418,150.0,0.303857421875,0.3525369465351105,0.6513422827702016,-2.60082331597805,0.2,0.004956389093422331,0.9780058339238167,0.0003,0.029949114,2510,0.12324801087379456
241,317440,57,483,-29.908601289999996,150.0,0.208447265625,0.35213038325309753,5.623787283734418,-2.5931605219841005,0.2,0.009802788226807024,0.9283668696880341,0.0003,0.027144156,2520,0.7775669693946838
245,319488,58,483,-27.283173800000004,150.0,0.357470703125,0.35111162066459656,1.4806920563685708,-2.5884550124406815,0.2,0.008532780097448267,0.9208859726786613,0.0003,0.57414305,2530,-0.029611222445964813
249,321536,59,484,-28.254843459999996,150.0,0.299658203125,0.34855562448501587,2.0463836438779253,-2.550093314051628,0.2,-0.004063827321806457,0.891676552593708,0.0003,0.08167308,2540,0.10121671855449677
253,323584,60,484,-27.090152290000002,150.0,0.397021484375,0.3481115996837616,0.15419623595371376,-2.5096332669258117,0.2,-0.01637072146113496,0.8871147036552429,0.0003,0.05293484,2550,0.06944169104099274
257,325632,61,484,-25.35316708,150.0,0.276171875,0.3478310704231262,4.613058137800545,-2.501526715606451,0.2,-0.010758975767021183,0.915601946413517,0.0003,0.05854022,2560,0.512549638748169
261,327680,62,484,-26.88889916,150.0,0.3833984375,0.3447665572166443,0.2733276932151057,-2.460405169427395,0.2,0.002276582972262986,-0.23988878726959229,0.0003,0.039892264,2570,0.04508053511381149
266,329728,63,484,-24.126070189999997,150.0,0.38740234375,0.3448241055011749,3.726245414046571,-2.4380061477422714,0.2,-0.00524082423071377,0.9038757905364037,0.0003,0.09023448,2580,0.9413706660270691
270,331776,64,484,-25.410374810000004,150.0,0.2771484375,0.34410104155540466,4.845499262260273,-2.428939175605774,0.2,-0.005913518767920322,0.9030996710062027,0.0003,0.07990342,2590,0.05679125711321831
274,333824,65,484,-27.25248517,150.0,0.194189453125,0.344243586063385,17.951410371623933,-2.414310247451067,0.2,-4.666378808906302e-05,0.9066295474767685,0.0003,0.024752043,2600,0.9197916388511658
278,335872,66,484,-25.85264896,150.0,0.376513671875,0.342072069644928,6.227847130404553,-2.4026624485850334,0.2,-0.0014088779797020834,0.7641754150390625,0.0003,0.038651563,2610,0.05141868442296982
282,337920,67,485,-22.53256075,150.0,0.429443359375,0.3443889021873474,0.2029651812306838,-2.395122027397156,0.2,-0.005216811075661099,0.7690750807523727,0.0003,0.045286432,2620,0.022213460877537727
286,339968,68,485,-25.36243378,150.0,0.418017578125,0.3435833156108856,0.8363540453603491,-2.408917009830475,0.2,0.0026577066790196115,-1.3696727752685547,0.0003,0.05137773,2630,0.10921443998813629
291,342016,69,485,-30.118356049999992,150.0,0.299072265625,0.3411712944507599,4.743443522648886,-2.3896955959498882,0.2,-0.010704278826597146,0.9658258855342865,0.0003,0.5305772,2640,0.1498967409133911
