rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/std,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range
-99.69100492307692,2048,150.0,3,1,584,,,,,,,,,,,
-93.4537907037037,4096,150.0,7,2,523,0.0003,0.9943621754646301,10,-9.910675412416458,-0.012981626349210273,0.03566700220108032,13.7463960647583,0.0654296875,0.008645214,65.33075985908508,0.2
-92.05980084999999,6144,150.0,12,3,504,0.0003,0.988321840763092,20,-9.876598608493804,-0.005345753594883718,0.2524864673614502,6.073265075683594,0.039501953125,0.007749698,27.242936654388906,0.2
-87.42555622222223,8192,150.0,16,4,499,0.0003,0.9892119765281677,30,-9.847547343373298,-0.010582708774018101,-0.2402275800704956,5.4647064208984375,0.081103515625,0.012314244,22.93116549998522,0.2
-82.86525717647058,10240,150.0,20,5,499,0.0003,0.9926630854606628,40,-9.863070076704025,-0.007794343357090838,-0.09449374675750732,2.1936051845550537,0.07265625,0.007944597,7.867534001171589,0.2
-80.16521539506172,12288,150.0,24,6,497,0.0003,0.9904863238334656,50,-9.872066602110863,-0.013560353176580974,0.12412256002426147,1.322543978691101,0.122802734375,0.0129490895,4.165453537553549,0.2
-77.66142919999999,14336,150.0,28,7,496,0.0003,0.9830235242843628,60,-9.831818914413452,-0.016615075315348803,0.36264127492904663,2.010392904281616,0.127880859375,0.013262771,3.805818885564804,0.2
-72.45184687000001,16384,150.0,33,8,495,0.0003,0.9908736348152161,70,-9.838357564806937,-0.012761290709022433,0.4734231233596802,1.2939258813858032,0.077294921875,0.007909911,3.7602268766611813,0.2
-67.4348204,18432,150.0,37,9,495,0.0003,0.9880331754684448,80,-9.84990975856781,-0.012324862272362225,0.724337637424469,0.4475037455558777,0.103466796875,0.010539895,1.1937194537371396,0.2
-61.944160440000005,20480,150.0,41,10,495,0.0003,0.9829820394515991,90,-9.821738305687905,-0.01927902296592947,0.78221595287323,0.352846622467041,0.141943359375,0.014323089,1.0281137299723924,0.2
-56.96459317,22528,150.0,45,11,495,0.0003,0.9715113043785095,100,-9.76164856851101,-0.016978812523302623,0.9280102849006653,0.42503002285957336,0.127978515625,0.011856046,0.966995851881802,0.2
-53.633006400000006,24576,150.0,49,12,494,0.0003,0.9668309092521667,110,-9.704954525828361,-0.019485378100944216,0.79827019572258,0.6076502799987793,0.168359375,0.013338882,1.238705713301897,0.2
-52.04133272,26624,150.0,53,13,494,0.0003,0.9617951512336731,120,-9.669085907936097,-0.021993542528070974,0.813557967543602,0.30818867683410645,0.148583984375,0.013051143,1.0619512411765755,0.2
-48.725516629999994,28672,150.0,57,14,495,0.0003,0.9601159691810608,130,-9.650064361095428,-0.01263727747136727,0.7935247719287872,0.36383238434791565,0.136083984375,0.011372576,1.0508772382512688,0.2
-46.03404157999999,30720,150.0,62,15,494,0.0003,0.9586334824562073,140,-9.63675112426281,-0.019472175621194764,0.93344996124506,0.286397784948349,0.16240234375,0.014611742,0.7990152489393949,0.2
-44.19432012,32768,150.0,66,16,495,0.0003,0.9587775468826294,150,-9.630076104402542,-0.01780662889359519,0.801337718963623,0.36700165271759033,0.160595703125,0.013934618,0.8570921733044088,0.2
-42.691613770000004,34816,150.0,70,17,495,0.0003,0.9608769416809082,160,-9.636539062857628,-0.012126931843522471,0.6439201831817627,0.44865748286247253,0.121923828125,0.009804523,0.9509804130531847,0.2
-42.080041900000005,36864,150.0,74,18,495,0.0003,0.9605255126953125,170,-9.645556491613387,-0.015761904091050383,0.8597331345081329,0.31182336807250977,0.131884765625,0.01209183,0.72530204532668,0.2
-41.2498261,38912,150.0,78,19,495,0.0003,0.9571799039840698,180,-9.628242871165275,-0.014121004864864516,0.834348738193512,0.2148471623659134,0.111572265625,0.009719983,0.9800811146385968,0.2
-39.32083125,40960,150.0,82,20,494,0.0003,0.9476116895675659,190,-9.577411279082298,-0.02242292301962152,0.8754065409302711,0.1924552321434021,0.20146484375,0.015312543,0.6632646561600268,0.2
-37.97567159,43008,150.0,86,21,494,0.0003,0.9465068578720093,200,-9.543538144230842,-0.017281028161232826,0.929696835577488,0.24423901736736298,0.141552734375,0.011345572,0.5679366974160075,0.2
-37.05396337,45056,150.0,91,22,495,0.0003,0.9381585121154785,210,-9.508390548825265,-0.011145037633832544,0.6655729413032532,0.15182466804981232,0.090380859375,0.009043686,0.604361568391323,0.2
-36.08084922,47104,150.0,95,23,495,0.0003,0.9247294664382935,220,-9.415269911289215,-0.013124644840718246,0.721587598323822,0.22901920974254608,0.090234375,0.008764109,0.6560863184742629,0.2
-35.197452340000005,49152,150.0,99,24,496,0.0003,0.9205530881881714,230,-9.35705313384533,-0.01724918384134071,0.8178814202547073,0.12864719331264496,0.144921875,0.013253118,0.32966249198652803,0.2
-33.88361667,51200,150.0,103,25,496,0.0003,0.914462685585022,240,-9.313885617256165,-0.014317091552948113,0.6043552756309509,0.15191511809825897,0.138623046875,0.012826859,0.4199747959151864,0.2
-32.07519908,53248,150.0,107,26,496,0.0003,0.9121489524841309,250,-9.286694967746735,-0.01782893179479288,0.8505952656269073,0.144529789686203,0.14580078125,0.013942338,0.4532712350133806,0.2
-30.371633519999996,55296,150.0,111,27,496,0.0003,0.9023539423942566,260,-9.237365636229516,-0.021456676302477717,0.7935172766447067,0.18132199347019196,0.169189453125,0.01552345,0.4560595760587603,0.2
-28.903732590000004,57344,150.0,115,28,497,0.0003,0.8956324458122253,270,-9.179146438837051,-0.01672946675971616,0.7781461179256439,0.09779766201972961,0.15498046875,0.012926556,0.33230183441191913,0.2
-27.52716717,59392,150.0,119,29,497,0.0003,0.8956373333930969,280,-9.150380524992944,-0.01789896285481518,0.8597026467323303,0.11818775534629822,0.14033203125,0.01352156,0.2375721708405763,0.2
-26.126207009999995,61440,150.0,123,30,497,0.0003,0.8924452662467957,290,-9.137485697865486,-0.01683715612598462,0.8944094330072403,0.03827908635139465,0.15478515625,0.013532925,0.18369008228182793,0.2
-24.64264518,63488,150.0,127,31,497,0.0003,0.8880311250686646,300,-9.108112004399299,-0.013821910276601557,0.6462853848934174,0.07171771675348282,0.141357421875,0.0134436125,0.21445408682338893,0.2
-23.37659443,65536,150.0,131,32,497,0.0003,0.8834930062294006,310,-9.07022529244423,-0.013725500856526195,0.7715200334787369,0.07028085738420486,0.1189453125,0.011900187,0.23447483878117054,0.2
