time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/loss,train/explained_variance,train/approx_kl,train/std,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/entropy_loss
625,-5.94871702,150.0,3,202752,1,,,,,,,,,,,
556,-6.54461398,150.0,7,204800,2,0.029813570901751518,0.8044036328792572,0.050571248,0.3426869213581085,990,0.01889164629392326,0.0003,0.45146484375,0.006353200375451706,0.2,-2.438532419502735
537,-6.840379919999999,150.0,11,206848,3,-0.03609281778335571,0.8498733192682266,0.056292836,0.33966025710105896,1000,0.03834528886145563,0.0003,0.422705078125,-0.008038440705422544,0.2,-2.382931960374117
530,-7.42488004,150.0,15,208896,4,-0.007120838388800621,0.47738415002822876,0.051576264,0.3366202712059021,1010,0.061833016929449515,0.0003,0.412890625,-0.007797386744641699,0.2,-2.314132261276245
525,-8.05119453,150.0,19,210944,5,0.020272906869649887,0.7940858900547028,0.056866266,0.33698222041130066,1020,0.06993714087584521,0.0003,0.431005859375,0.003300734985532472,0.2,-2.2827413149178026
516,-11.34689511,150.0,23,212992,6,-0.005446352064609528,0.8461139649152756,0.05413638,0.3335097134113312,1030,0.04709999545739265,0.0003,0.41748046875,-0.01156602184928488,0.2,-2.2555958941578864
513,-11.51072004,150.0,27,215040,7,0.12595871090888977,0.5994870364665985,0.6676714,0.3318168818950653,1040,10.135107526066713,0.0003,0.329052734375,-0.020934854832012205,0.2,-2.1999876044690607
507,-14.46927623,150.0,32,217088,8,0.0170833021402359,0.26494550704956055,0.03891336,0.3320041000843048,1050,0.08079989943653346,0.0003,0.386962890625,0.0022215989156393334,0.2,-2.1790174581110477
505,-16.325656199999997,150.0,36,219136,9,19.304893493652344,0.8433770537376404,0.7177135,0.32968869805336,1060,12.111641607643104,0.0003,0.320751953125,-0.03269678126380313,0.2,-2.1624245956540107
505,-16.275623799999998,150.0,40,221184,10,0.22763700783252716,0.6591968536376953,0.20620179,0.32728591561317444,1070,9.307679827511311,0.0003,0.312890625,-0.009276107639016118,0.2,-2.1151185601949694
504,-16.18839419,150.0,44,223232,11,-0.017653845250606537,-3.1331043243408203,0.0551666,0.32535549998283386,1080,0.37006861429836135,0.0003,0.473193359375,0.012713564175646752,0.2,-2.0573839850723745
504,-16.19594093,150.0,48,225280,12,-0.010297233238816261,0.5708417892456055,0.06688884,0.32398509979248047,1090,0.1254104572639335,0.0003,0.45234375,-0.005556176380196121,0.2,-2.0308460004627706
504,-13.2808905,150.0,52,227328,13,0.04297085851430893,0.6705725193023682,0.060859904,0.3205704689025879,1100,0.08903728618024616,0.0003,0.446435546875,-0.0031960107568011153,0.2,-1.9717756520956755
500,-14.742810500000001,150.0,57,229376,14,0.0025323349982500076,0.6588936448097229,0.055726618,0.31850138306617737,1110,0.09635974704433466,0.0003,0.435205078125,-0.00775634954625275,0.2,-1.9236280836164952
500,-12.16595384,150.0,61,231424,15,0.8247030973434448,0.40581345558166504,0.79288715,0.31479495763778687,1120,1.736077777587343,0.0003,0.371728515625,-0.020202929677907377,0.2,-1.8546384084969758
500,-12.166317670000002,150.0,65,233472,16,0.02120119147002697,0.7709356993436813,0.042796485,0.3130876123905182,1130,0.056329652293061375,0.0003,0.41826171875,-0.0038543060058145785,0.2,-1.7833261001855134
498,-12.314090460000005,150.0,69,235520,17,0.015584676526486874,0.8883008360862732,0.04823605,0.3122112452983856,1140,0.055960177845554425,0.0003,0.404833984375,-0.007408635922183748,0.2,-1.7602202113717795
498,-12.24058947,150.0,73,237568,18,-0.009520137682557106,0.7040318846702576,0.28319693,0.30932527780532837,1150,10.602384867530782,0.0003,0.35302734375,-0.01986947702826001,0.2,-1.7191313549876213
498,-13.54868382,150.0,78,239616,19,0.022263197228312492,-0.7233847379684448,0.048914067,0.30932432413101196,1160,0.24660197348857765,0.0003,0.43818359375,0.003542829948855797,0.2,-1.6776382219046355
496,-15.113633150000004,150.0,82,241664,20,0.26826760172843933,0.775151938199997,0.09541119,0.309582382440567,1170,4.199317045405041,0.0003,0.3935546875,-0.01109645692340564,0.2,-1.6943523358553647
495,-13.674929619999999,150.0,86,243712,21,0.7820708751678467,0.2609438896179199,0.93104625,0.30755725502967834,1180,2.3077010460663585,0.0003,0.40947265625,-0.017352047719759865,0.2,-1.6734477806836368
493,-17.59995244,150.0,91,245760,22,0.17417415976524353,0.17277401685714722,0.077217475,0.30696818232536316,1190,0.534168477752246,0.0003,0.4966796875,0.004173589654965326,0.2,-1.6331130526959896
493,-18.73801265,150.0,95,247808,23,3.3250203132629395,0.8182107508182526,0.322722,0.3054003119468689,1200,28.263770240033047,0.0003,0.2724609375,-0.033238088338111996,0.2,-1.6155076537281274
492,-18.22980457,150.0,99,249856,24,0.4772481322288513,0.6963914334774017,0.15895829,0.3019806444644928,1210,1.982441214984283,0.0003,0.410205078125,-0.018701961982878858,0.2,-1.559125879779458
492,-18.41105252,150.0,103,251904,25,0.0725025087594986,0.662794679403305,0.34506214,0.2996402382850647,1220,1.5564236351463479,0.0003,0.372802734375,-0.025787763524567707,0.2,-1.49613042101264
491,-18.4009366,150.0,108,253952,26,0.006688049994409084,0.6577958166599274,0.0706123,0.29813864827156067,1230,0.1578983229046571,0.0003,0.47412109375,0.00034302768617635595,0.2,-1.4462925665080548
491,-20.135307299999997,150.0,112,256000,27,0.4102652668952942,0.8563003689050674,0.6910616,0.2954105734825134,1240,1.2358731792657636,0.0003,0.41220703125,-0.00219871609879192,0.2,-1.393477224186063
