time/fps,train/ent_coef_loss,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/success_rate,train/critic_loss,train/ent_coef,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/actor_loss,train/n_updates
58,80.4183578491211,-12.23196185,1,2668,0.6,0.0028614909388124943,0.002318544080480933,400100,0.0003,148.0,7.785715579986572,399999
55,82.22842407226562,-13.481695030000003,5,2672,0.58,0.09468574821949005,0.0025099138729274273,400300,0.0003,144.0,11.529003143310547,400199
55,58.36479949951172,-14.42088352,8,2676,0.58,0.11234428733587265,0.0026918407529592514,400500,0.0003,140.0,9.081502914428711,400399
55,80.28671264648438,-15.818719399999999,12,2680,0.56,0.041603490710258484,0.00287360860966146,400700,0.0003,136.0,10.916479110717773,400599
55,67.07473754882812,-17.36000605,16,2684,0.54,0.07444580644369125,0.003061440074816346,400900,0.0003,132.0,11.031805038452148,400799
55,63.32233428955078,-19.01149667,19,2688,0.53,0.06812911480665207,0.003251117654144764,401100,0.0003,128.0,12.5408935546875,400999
56,76.63330078125,-20.615886109999998,23,2692,0.5,0.11167041212320328,0.0034472469706088305,401300,0.0003,124.0,13.502297401428223,401199
56,68.95962524414062,-21.45604352,26,2696,0.49,0.03558618202805519,0.0036597789730876684,401500,0.0003,120.0,11.953173637390137,401399
56,72.12273406982422,-23.92033286,30,2700,0.46,0.7157087922096252,0.0038874417077749968,401700,0.0003,116.0,12.936844825744629,401599
56,63.66632080078125,-24.287011149999994,33,2704,0.46,0.09889894723892212,0.004120674915611744,401900,0.0003,112.0,11.964763641357422,401799
56,49.263450622558594,-25.106154930000002,37,2708,0.43,0.06302456557750702,0.004344717133790255,402100,0.0003,108.0,10.787365913391113,401999
56,47.81904220581055,-26.400702439999996,40,2712,0.4,0.13512572646141052,0.004581938963383436,402300,0.0003,104.0,12.12852668762207,402199
56,50.242759704589844,-27.528002689999997,44,2716,0.38,0.05242282897233963,0.004842107649892569,402500,0.0003,100.0,12.177988052368164,402399
56,55.75325012207031,-28.30236229,47,2720,0.34,0.05791085213422775,0.005113902036100626,402700,0.0003,96.0,13.960439682006836,402599
56,41.58411407470703,-28.91354649,51,2724,0.32,0.06627561897039413,0.005382149014621973,402900,0.0003,92.0,12.587122917175293,402799
56,44.4295539855957,-30.038221710000002,54,2728,0.29,0.04771733283996582,0.0056640589609742165,403100,0.0003,88.0,12.330877304077148,402999
56,41.84017562866211,-30.20121262,58,2732,0.26,0.05453868582844734,0.0059513202868402,403300,0.0003,84.0,12.200626373291016,403199
