time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/explained_variance
617,-3.7417732100000007,50.0,1,202752,3,,,,,,,,,,,
547,-5.94379417,50.0,2,204800,7,0.24896088,0.0003,0.004440539516508579,-0.023553141781303567,0.4116811752319336,0.447265625,-3.655077373981476,0.2,0.17949786928365938,990,0.5389447510242462
514,-6.71235879,50.0,3,206848,11,0.22977461,0.0003,0.03296402469277382,-0.013548294763313606,0.4099486172199249,0.4146484375,-3.6017130963504314,0.2,1.2834783421480096,1000,0.5025000870227814
506,-6.903565019999999,50.0,4,208896,16,0.055417426,0.0003,0.04395865276455879,-0.010472536258748732,0.40784987807273865,0.429736328125,-3.5648808635771276,0.2,0.26951809879392385,1010,0.7336393892765045
503,-6.114531469999998,50.0,5,210944,20,0.041142546,0.0003,0.06394490599632263,-0.009172668548126239,0.4036569595336914,0.347216796875,-3.51571307182312,0.2,0.40367766659474,1020,0.6549224257469177
500,-5.9294182100000015,50.0,6,212992,24,0.04741039,0.0003,0.08789549022912979,-0.006301688412349904,0.401962012052536,0.37119140625,-3.460712892562151,0.2,0.14151486256159843,1030,0.8270748257637024
497,-6.33980455,50.0,7,215040,28,0.055170007,0.0003,0.11418268084526062,-0.0018249174383527134,0.4000527560710907,0.366943359375,-3.4375123575329782,0.2,0.18501445792499,1040,0.7844149023294449
496,-6.8838959299999996,50.0,8,217088,33,0.04841291,0.0003,0.05484287813305855,-0.015288147897808812,0.39818722009658813,0.330322265625,-3.400980418175459,0.2,1.662807688844623,1050,0.5886177718639374
493,-7.517962050000002,50.0,9,219136,37,0.052747663,0.0003,0.04240352660417557,-0.013640891973045655,0.39757657051086426,0.3337890625,-3.385852764546871,0.2,1.135372551018372,1060,0.6379970610141754
491,-6.484530689999999,50.0,10,221184,41,0.08440922,0.0003,0.6957668662071228,-0.009505572584748734,0.39463990926742554,0.287060546875,-3.347616325318813,0.2,4.2382399589405395,1070,0.6930065453052521
492,-6.009135580000001,50.0,11,223232,45,0.05148434,0.0003,0.014383498579263687,-0.018549883765808774,0.39279869198799133,0.3841796875,-3.3007182560861112,0.2,0.15628585030208342,1080,0.7671656459569931
489,-6.16873561,50.0,12,225280,50,0.050041888,0.0003,0.36632683873176575,-0.011271995480637998,0.3926694095134735,0.354443359375,-3.2883652850985525,0.2,0.7586665169335902,1090,0.7435595095157623
488,-5.7467668199999995,50.0,13,227328,54,0.04475446,0.0003,0.03262669965624809,-0.00540358358193771,0.3961891531944275,0.388720703125,-3.3219563879072664,0.2,0.14205310724209994,1100,0.8166694641113281
489,-5.727391989999998,50.0,14,229376,58,0.039513648,0.0003,-0.005607027560472488,-0.009720924537396059,0.39310237765312195,0.35537109375,-3.3190370954573156,0.2,0.08439328497915995,1110,0.8252924829721451
487,-7.4694534,50.0,15,231424,63,0.04246545,0.0003,0.07252100110054016,-0.008983413279929664,0.3916623592376709,0.390185546875,-3.286072690039873,0.2,0.2784505061979871,1120,0.7000540792942047
486,-8.77294298,50.0,16,233472,67,0.17112574,0.0003,1.801177978515625,-0.021787602922995575,0.3893246352672577,0.307861328125,-3.244761025160551,0.2,11.71996111990884,1130,0.6921693980693817
487,-8.2842633,50.0,17,235520,71,0.037987094,0.0003,2.8772635459899902,0.00464083090191707,0.39031982421875,0.298828125,-3.230278991162777,0.2,3.3833132025785746,1140,0.781778559088707
486,-6.0703591900000005,50.0,18,237568,75,0.043762665,0.0003,0.12534722685813904,-0.004251625172037166,0.3888848125934601,0.40185546875,-3.2286684423685075,0.2,0.5361928485915997,1150,0.054690659046173096
486,-6.6923508200000015,50.0,19,239616,80,0.044250865,0.0003,0.08134694397449493,-0.009774003513302886,0.3875735402107239,0.38154296875,-3.205411847680807,0.2,0.4078523735050112,1160,0.16968387365341187
486,-7.89554145,50.0,20,241664,84,0.06277863,0.0003,0.18593934178352356,-0.01571233766444493,0.38533487915992737,0.3345703125,-3.1749739319086077,0.2,6.719922939408571,1170,0.874743327498436
