time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/loss,train/std,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/approx_kl
1,50.0,3,2048,-21.4464423,600,,,,,,,,,,,
2,50.0,7,4096,-21.06677901234568,535,-0.010564793973753695,10,-0.009521842002868652,0.087548828125,1.5647625923156738,0.9982966780662537,9.992651393264532,-9.923341369628906,0.0003,0.2,0.008418886
3,50.0,11,6144,-19.99666528,517,-0.011958614761533681,20,0.10251420736312866,0.082568359375,2.764930486679077,1.0025638341903687,7.122854964435101,-9.933527481555938,0.0003,0.2,0.0108348355
4,50.0,16,8192,-18.189053129999998,508,-0.011367169926234055,30,0.2345380187034607,0.0998046875,1.0641084909439087,1.0026987791061401,3.4511274874210356,-9.951871010661126,0.0003,0.2,0.010761095
5,50.0,20,10240,-17.73601095,505,-0.016006792313419282,40,0.4186300039291382,0.136279296875,1.0104868412017822,0.9979457855224609,2.4428310193121434,-9.930263099074363,0.0003,0.2,0.012792807
6,50.0,24,12288,-16.841791490000002,503,-0.021803228461067192,50,0.6264658570289612,0.151318359375,0.9063034653663635,0.9867453575134277,2.0324988439679146,-9.875143402814865,0.0003,0.2,0.013069986
7,50.0,28,14336,-16.31763667,502,-0.021474395015684423,60,0.7741206884384155,0.1638671875,0.5257344245910645,0.9781062006950378,1.1417961636558176,-9.804703065752983,0.0003,0.2,0.012451036
8,50.0,32,16384,-17.13469665,500,-0.014849102460721042,70,0.7750930339097977,0.103564453125,0.58647221326828,0.977588951587677,1.331306822039187,-9.773720395565032,0.0003,0.2,0.009301214
9,50.0,36,18432,-17.690588260000002,499,-0.011955558505724185,80,0.8600914478302002,0.10341796875,0.5123064517974854,0.9805497527122498,1.3407639123499393,-9.783555299043655,0.0003,0.2,0.009157728
10,50.0,41,20480,-17.703620750000006,497,-0.014254240042646416,90,0.8807246387004852,0.11611328125,0.4738779664039612,0.9752100110054016,1.2152889272198082,-9.772079554200172,0.0003,0.2,0.012730738
11,50.0,45,22528,-17.46842506,496,-0.01167474242975004,100,0.8843469098210335,0.088818359375,0.7169327139854431,0.9729223251342773,1.4076540337875485,-9.74395748078823,0.0003,0.2,0.009128929
12,50.0,49,24576,-17.161045850000004,495,-0.009577847016043962,110,0.9428776279091835,0.0783203125,0.40947845578193665,0.9678767919540405,0.8795160717330873,-9.7161435008049,0.0003,0.2,0.0089371335
13,50.0,53,26624,-17.004493780000004,493,-0.011976075661368667,120,0.9535840637981892,0.099755859375,0.3482137620449066,0.9688814282417297,0.8850314422510565,-9.70337209403515,0.0003,0.2,0.0105179185
14,50.0,58,28672,-16.59320807,492,-0.013070173552841879,130,0.9723309576511383,0.11748046875,0.20555362105369568,0.9680933952331543,0.5290907753631473,-9.708226838707924,0.0003,0.2,0.009669542
15,50.0,62,30720,-15.8418212,492,-0.016652280044218058,140,0.9772758521139622,0.123486328125,0.306953489780426,0.9685969948768616,0.7386754434555769,-9.706459349393844,0.0003,0.2,0.012082171
16,50.0,66,32768,-14.46364249,493,-0.01766151706178789,150,0.9870383171364665,0.16748046875,0.1280486285686493,0.9668922424316406,0.32589152664877474,-9.697693753242493,0.0003,0.2,0.01379838
17,50.0,70,34816,-13.58407099,493,-0.018254315250669607,160,0.9835031032562256,0.1537109375,0.0971607118844986,0.9668365120887756,0.3031414044555277,-9.685579881072044,0.0003,0.2,0.012545903
18,50.0,74,36864,-12.903183480000003,494,-0.022560618874558715,170,0.9869758086279035,0.192041015625,0.12377633899450302,0.958410918712616,0.2708327329251915,-9.654715263843537,0.0003,0.2,0.016586276
19,50.0,78,38912,-11.821152650000002,494,-0.023522312502609565,180,0.9858015133067966,0.1849609375,0.1500321924686432,0.9482245445251465,0.3338510550558567,-9.581266316771508,0.0003,0.2,0.015860878
20,50.0,82,40960,-10.817251109999999,494,-0.02194327891629655,190,0.9902737559750676,0.183154296875,0.04951351135969162,0.9398976564407349,0.19222130614798516,-9.51770649254322,0.0003,0.2,0.016808476
21,50.0,86,43008,-10.22994203,495,-0.019315411093703005,200,0.9697242062538862,0.157763671875,0.10791126638650894,0.9300824403762817,0.36917579718865456,-9.447266328334809,0.0003,0.2,0.014615341
22,50.0,90,45056,-9.72928528,495,-0.01679038503934862,210,0.9583855681121349,0.142138671875,0.1185498982667923,0.9300317764282227,0.3858872386161238,-9.410192081332207,0.0003,0.2,0.012119845
