time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/entropy_loss,train/std,train/clip_range,train/explained_variance
3,403456,1,150.0,551,-24.298412910000007,,,,,,,,,,,
8,405504,2,150.0,486,-35.473276399999996,-0.005352417804533616,1970,54.33618667721748,0.12345449,0.3869140625,16.82474136352539,0.0003,1.2857426065951585,0.2033528983592987,0.2,0.846952497959137
12,407552,3,150.0,479,-41.765689439999996,0.0007585174360428936,1980,52.36981977820396,0.275682,0.37763671875,12.67923641204834,0.0003,1.2725776568055154,0.20369602739810944,0.2,0.7257020473480225
17,409600,4,150.0,473,-51.10908742000001,0.009532802805188112,1990,22.505157671123744,0.8155952,0.466552734375,1.3700306415557861,0.0003,1.2406228605657816,0.20449097454547882,0.2,0.8857560977339745
21,411648,5,150.0,477,-61.527483870000005,-0.0035055931366514415,2000,59.28468284606934,0.36181414,0.437451171875,15.945064544677734,0.0003,1.2307935554534197,0.20417770743370056,0.2,0.903639018535614
26,413696,6,150.0,465,-74.03277922000001,0.007406201525736833,2010,45.68202024251222,0.17033534,0.482177734375,4.828629970550537,0.0003,1.2394293930381537,0.2041163295507431,0.2,0.8602819442749023
30,415744,7,150.0,466,-81.91983615,0.005071461491752416,2020,78.67861306667328,0.13910997,0.414208984375,18.481151580810547,0.0003,1.245694800838828,0.20396733283996582,0.2,0.9126347079873085
35,417792,8,150.0,465,-87.1595328,0.007854821922956034,2030,42.91236983984709,0.2203838,0.422314453125,12.359400749206543,0.0003,1.2462618101388216,0.2039135992527008,0.2,0.9365597814321518
40,419840,9,150.0,460,-92.55942582,0.01403511447715573,2040,108.73097052574158,0.076116525,0.42158203125,107.32471466064453,0.0003,1.2535802848637103,0.20342837274074554,0.2,0.928781047463417
44,421888,10,150.0,456,-95.2001839,0.01262513491383288,2050,73.67057040333748,0.09449172,0.430517578125,28.876089096069336,0.0003,1.2566623445600271,0.20381474494934082,0.2,0.9451787658035755
49,423936,11,150.0,455,-85.09439315,0.009966676525073126,2060,68.26007176935673,0.08085954,0.461376953125,17.78318214416504,0.0003,1.2421890780329705,0.2040567398071289,0.2,0.9169467836618423
54,425984,12,150.0,453,-84.42596048,0.05148055775134708,2070,22.787214628234505,0.47694886,0.663720703125,8.524687767028809,0.0003,1.2446562029421329,0.20366789400577545,0.2,0.7980931252241135
58,428032,13,150.0,454,-84.93890459,0.025715335116547066,2080,63.165795981884,0.4468205,0.545849609375,24.262998580932617,0.0003,1.2538914494216442,0.20354832708835602,0.2,0.9495261572301388
62,430080,14,150.0,455,-89.35498739,0.013581275395699777,2090,57.41852909624576,0.19353706,0.527734375,21.00282859802246,0.0003,1.2422098144888878,0.20461192727088928,0.2,0.9276954084634781
67,432128,15,150.0,455,-86.93237841,0.007686694424774032,2100,70.30928809940815,0.101836726,0.424072265625,18.884521484375,0.0003,1.202820412442088,0.20595097541809082,0.2,0.9218229427933693
71,434176,16,150.0,455,-88.32777248999999,0.011493920350039844,2110,49.382229280471805,0.16385294,0.543359375,9.699080467224121,0.0003,1.1370691552758216,0.2078545093536377,0.2,0.9424537010490894
76,436224,17,150.0,455,-81.72121182999999,-0.0039595171227119865,2120,103.51560772061347,0.08439814,0.44990234375,16.40992546081543,0.0003,1.1020275466144085,0.20818468928337097,0.2,0.8826380297541618
80,438272,18,150.0,456,-82.96317041,0.01781204271610477,2130,24.702064645662904,0.73862135,0.613330078125,1.6433296203613281,0.0003,1.0861700564622878,0.2080496996641159,0.2,0.9674815610051155
85,440320,19,150.0,455,-89.8089283,0.022459940120461395,2140,61.08147509247065,0.3360327,0.59384765625,2.8980910778045654,0.0003,1.0692596141248942,0.21011124551296234,0.2,0.8000108897686005
